-0.77	1025.00
-0.49	1042.00
-0.84	1060.00
-0.77	1078.00
-0.56	1095.00
-0.63	1114.00
-0.70	1131.00
-0.28	1148.00
-0.56	1167.00
-0.63	1184.00
-0.49	1202.00
-0.56	1219.00
-0.35	1238.00
-0.28	1255.00
-0.49	1272.00
-0.49	1291.00
-0.70	1308.00
-0.56	1326.00
-0.56	1344.00
-0.84	1361.00
-0.63	1379.00
-0.84	1396.00
-0.56	1415.00
-0.56	1432.00
-0.49	1449.00
-0.49	1468.00
-0.56	1485.00
-0.84	1503.00
-0.56	1521.00
-0.91	1539.00
-0.56	1556.00
-0.56	1573.00
-0.77	1592.00
-0.35	1609.00
-0.77	1627.00
-0.56	1645.00
-0.84	1662.00
-0.35	1680.00
-0.49	1698.00
-0.91	1716.00
-0.49	1733.00
-0.63	1751.00
-0.56	1769.00
-0.42	1786.00
-0.56	1804.00
-0.70	1822.00
-0.56	1840.00
-0.63	1857.00
-0.42	1875.00
-0.49	1893.00
-0.70	1910.00
-0.70	1928.00
-0.49	1946.00
-0.77	1964.00
-0.49	1981.00
-0.56	1999.00
-0.63	2017.00
-0.84	2034.00
-0.49	2053.00
-0.56	2070.00
-0.70	2087.00
-0.42	2105.00
-0.98	2123.00
-0.63	2141.00
-0.63	2158.00
-0.63	2177.00
-0.63	2194.00
-0.56	2211.00
-0.49	2230.00
-0.49	2247.00
-0.70	2265.00
-0.63	2282.00
-0.56	2300.00
-0.63	2318.00
-0.42	2335.00
-0.77	2354.00
-0.56	2371.00
-0.84	2388.00
-0.70	2407.00
-0.84	2424.00
-0.70	2442.00
-0.63	2459.00
-0.70	2478.00
-0.49	2495.00
-0.56	2512.00
-0.35	2531.00
-0.70	2548.00
-0.56	2566.00
-0.63	2584.00
-0.77	2601.00
-0.70	2619.00
-0.56	2636.00
-0.63	2655.00
-0.77	2672.00
-0.49	2690.00
-0.49	2708.00
-0.98	2725.00
-0.56	2743.00
-0.42	2761.00
-0.70	2779.00
-0.56	2796.00
-0.63	2813.00
-0.35	2832.00
-0.77	2849.00
-0.70	2867.00
-0.77	2885.00
-0.28	2903.00
-0.63	2920.00
-0.63	2938.00
-0.63	2956.00
-0.42	2973.00
-0.56	2991.00
-0.56	3009.00
-0.77	3026.00
-0.56	3044.00
-0.35	3062.00
-0.56	3080.00
-0.56	3097.00
-0.56	3116.00
-0.49	3133.00
-0.42	3150.00
-0.56	3168.00
-0.84	3186.00
-0.98	3204.00
-0.77	3221.00
-0.28	3239.00
-0.63	3257.00
-0.84	3274.00
-0.56	3293.00
-0.77	3310.00
-0.49	3328.00
-0.63	3345.00
-0.49	3363.00
-0.42	3381.00
-0.42	3398.00
-0.56	3417.00
-0.63	3434.00
-0.77	3451.00
-0.70	3470.00
-0.77	3487.00
-0.77	3505.00
-0.70	3522.00
-0.56	3540.00
-0.63	3558.00
-0.70	3575.00
-0.70	3594.00
-0.63	3611.00
-0.42	3629.00
-0.56	3647.00
-0.77	3664.00
-0.14	3682.00
-0.35	3699.00
-0.56	3718.00
-0.56	3735.00
-0.35	3752.00
-0.49	3771.00
-0.49	3788.00
-0.77	3806.00
-1.05	3824.00
-0.56	3842.00
-0.63	3859.00
-0.42	3876.00
-0.63	3895.00
-0.63	3912.00
-0.56	3930.00
0.63	3948.00
5.11	3965.00
0.84	3983.00
-0.56	4001.00
-1.26	4019.00
-3.01	4036.00
-5.81	4054.00
-2.80	4072.00
-0.84	4089.00
-0.49	4107.00
-0.70	4125.00
-1.12	4143.00
-0.77	4160.00
-1.05	4178.00
-0.42	4196.00
-0.21	4213.00
-0.28	4231.00
-0.21	4249.00
-0.42	4267.00
-1.61	4284.00
-0.70	4302.00
0.63	4320.00
2.52	4337.00
-3.99	4356.00
1.47	4373.00
-0.42	4390.00
-0.63	4408.00
-0.49	4426.00
-0.91	4444.00
-5.32	4461.00
-14.98	4480.00
9.31	4497.00
-1.54	4514.00
-0.14	4533.00
-0.42	4550.00
-1.05	4568.00
-1.61	4586.00
-0.42	4603.00
0.14	4621.00
-0.91	4638.00
-0.77	4657.00
-0.63	4674.00
-0.56	4691.00
-0.70	4710.00
-0.56	4727.00
-0.63	4745.00
-0.56	4763.00
-0.42	4781.00
-0.49	4798.00
-0.49	4815.00
-0.56	4834.00
-0.84	4851.00
-0.56	4869.00
-0.70	4887.00
-0.77	4904.00
-0.49	4922.00
-0.70	4940.00
-0.49	4958.00
-0.63	4975.00
-0.70	4993.00
-0.56	5011.00
-0.49	5028.00
-0.63	5046.00
-0.35	5064.00
-0.63	5082.00
-0.56	5099.00
0.56	5117.00
-0.07	5135.00
0.98	5152.00
-0.77	5170.00
-0.91	5188.00
-0.70	5206.00
-0.63	5223.00
-0.49	5241.00
-0.63	5259.00
-0.77	5276.00
-0.42	5295.00
-0.42	5312.00
-0.70	5329.00
-0.56	5347.00
-0.35	5365.00
-0.49	5383.00
-0.56	5400.00
-0.07	5419.00
0.77	5436.00
1.05	5453.00
-1.40	5472.00
-1.89	5489.00
-0.98	5507.00
-1.19	5524.00
-0.14	5542.00
0.91	5560.00
4.06	5577.00
3.99	5596.00
0.00	5613.00
-1.26	5630.00
-1.19	5648.00
-1.26	5666.00
-0.70	5684.00
-0.14	5701.00
-0.70	5720.00
-0.49	5737.00
0.77	5754.00
-0.07	5773.00
-0.21	5790.00
-1.19	5808.00
-0.56	5825.00
4.83	5843.00
-0.91	5861.00
0.91	5878.00
3.78	5897.00
0.14	5914.00
-2.80	5932.00
-9.24	5949.00
0.63	5967.00
-0.56	5985.00
-0.63	6002.00
-0.91	6021.00
-0.42	6038.00
-0.63	6055.00
-0.49	6073.00
-0.56	6091.00
-0.77	6109.00
-0.49	6126.00
-0.77	6145.00
-0.28	6162.00
-0.84	6179.00
-0.91	6197.00
-0.49	6215.00
-0.77	6233.00
-0.63	6250.00
-0.42	6268.00
-0.49	6286.00
-0.77	6303.00
-0.70	6321.00
-0.56	6339.00
-0.42	6356.00
-0.63	6374.00
-0.28	6392.00
-0.56	6410.00
-0.42	6427.00
-0.91	6445.00
-0.63	6463.00
-0.49	6480.00
-0.49	6498.00
-0.28	6516.00
-0.91	6534.00
-0.70	6551.00
-0.91	6568.00
-0.42	6587.00
-0.70	6604.00
-0.49	6622.00
-0.56	6640.00
-0.63	6658.00
-0.42	6675.00
-0.56	6692.00
-0.63	6711.00
-0.70	6728.00
-0.84	6746.00
-0.63	6764.00
-0.35	6781.00
-0.70	6799.00
-0.56	6816.00
