"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"10","GTP","Filipe Albuquerque","29","2:03.572","1:01:46.462","Green","Track","73.867","32.343","17.362"
"60","GTP","Colin Braun","23","2:02.640","1:01:48.758","Green","Track","71.662","33.554","17.424"
"3","GTDPRO","Antonio Garcia","30","2:32.810","1:01:50.643","Green","Track","96.413","36.263","20.134"
"13","LMP3","Matthew Bell","35","2:09.426","1:01:50.739","Green","Track","75.064","35.834","18.528"
"14","GTDPRO","Ben Barnicoat","28","2:19.420","1:01:52.339","Green","Track","83.140","36.566","19.714"
"30","LMP3","Garett Grist","4","1:58.585","1:01:55.284","Green","Track","62.234","37.651","18.700"
"32","GTD","Mikael Grenier","22","2:32.582","1:01:56.686","Green","Track","93.341","37.406","21.835"
"7","GTP","Felipe Nasr","22","11:53.681","1:01:59.047","Green","Track","661.588","33.616","18.477"
"70","GTD","Frederik Schandorff","40","1:57.756","1:02:01.320","Green","Track","56.648","37.016","24.092"
"74","LMP3","Felipe Fraga","36","1:25.447","1:02:11.481","Green","Track","32.018","34.958","18.471"
"17","LMP3","Anthony Mantella","36","3:55.762","1:02:15.555","Green","Pit","24.917","36.541","174.304"
"77","GTD","Alan Brynjolfsson","34","1:29.543","1:02:24.130","Green","Track","34.313","36.167","19.063"
"80","GTD","PJ Hyett","33","5:30.199","1:02:28.457","Green","Pit","24.133","37.164","268.902"
"78","GTD","Loris Spinelli","29","4:08.524","1:02:30.509","Green","Pit","25.072","36.890","186.562"
"01","GTP","Renger van der Zande","21","4:25.662","1:02:31.526","Green","Track","212.262","35.620","17.780"
"66","GTD","Sheena Monk","33","1:32.264","1:02:36.765","Green","Track","35.471","37.422","19.371"
"4","LMP3","George Staikos","30","1:38.096","1:02:38.212","Green","Track","39.114","38.562","20.420"
"96","GTD","Patrick Gallagher","38","1:33.958","1:02:46.627","Green","Track","36.400","37.606","19.952"
"92","GTD","Alec Udell","23","1:29.133","1:02:49.355","Green","Track","34.044","36.001","19.088"
"24","GTP","Philipp Eng","33","1:13.127","1:02:56.580","Green","Track","23.024","32.639","17.464"
"10","GTP","Filipe Albuquerque","30","1:11.825","1:02:58.287","Green","Track","22.035","32.031","17.759"
"79","GTDPRO","Jules Gounon","36","1:17.716","1:02:58.424","Green","Track","23.391","35.502","18.823"
"12","GTD","Frankie Montecalvo","29","3:32.087","1:03:00.536","Green","Track","154.866","37.852","19.369"
"60","GTP","Colin Braun","24","1:12.399","1:03:01.157","Green","Track","21.161","33.287","17.951"
"9","GTDPRO","Patrick Pilet","31","3:35.555","1:03:01.289","Green","Track","159.996","36.527","19.032"
"33","LMP3","Lance Willsey","35","1:18.953","1:03:04.220","Green","Track","23.679","36.177","19.097"
"13","LMP3","Matthew Bell","36","1:15.079","1:03:05.818","Green","Track","22.042","34.373","18.664"
"57","GTD","Philip Ellis","39","7:12.566","1:03:08.167","Green","Pit","23.309","48.839","360.418"
"91","GTD","Alan Metni","38","1:24.660","1:03:08.210","Green","Track","24.384","36.697","23.579"
"3","GTDPRO","Antonio Garcia","31","1:17.912","1:03:08.555","Green","Track","23.566","35.675","18.671"
"30","LMP3","Garett Grist","5","1:13.459","1:03:08.743","Green","Track","21.571","34.235","17.653"
"14","GTDPRO","Ben Barnicoat","29","1:18.109","1:03:10.448","Green","Track","23.424","35.762","18.923"
"7","GTP","Felipe Nasr","23","1:12.206","1:03:11.253","Green","Track","22.245","32.514","17.447"
"32","GTD","Mikael Grenier","23","1:19.723","1:03:16.409","Green","Track","24.149","36.552","19.022"
"70","GTD","Frederik Schandorff","41","1:19.256","1:03:20.576","Green","Track","23.527","35.480","20.249"
"1","GTD","Madison Snow","26","5:13.173","1:03:22.834","Green","Track","258.096","35.940","19.137"
"74","LMP3","Felipe Fraga","37","1:13.197","1:03:24.678","Green","Track","21.534","34.389","17.274"
"77","GTD","Alan Brynjolfsson","35","1:17.964","1:03:42.094","Green","Track","23.576","35.537","18.851"
"01","GTP","Renger van der Zande","22","1:11.797","1:03:43.323","Green","Track","21.646","32.614","17.537"
"17","LMP3","Anthony Mantella","37","1:29.133","1:03:44.688","Green","Track","35.120","35.687","18.326"
"97","GTD","Chandler Hull","36","5:21.902","1:03:48.393","Green","Pit","26.821","37.884","257.197"
"5","GTP","Tijmen van der Helm","41","6:24.283","1:03:50.100","Green","Pit","21.427","33.916","328.940"
"66","GTD","Sheena Monk","34","1:19.244","1:03:56.009","Green","Track","24.356","35.840","19.048"
"4","LMP3","George Staikos","31","1:19.548","1:03:57.760","Green","Track","24.208","36.308","19.032"
"78","GTD","Loris Spinelli","30","1:29.533","1:04:00.042","Green","Track","33.112","36.192","20.229"
"80","GTD","PJ Hyett","34","1:32.182","1:04:00.639","Green","Track","35.388","36.861","19.933"
"96","GTD","Patrick Gallagher","39","1:17.889","1:04:04.516","Green","Track","23.887","35.206","18.796"
"92","GTD","Alec Udell","24","1:17.574","1:04:06.929","Green","Track","23.367","35.625","18.582"
"24","GTP","Philipp Eng","34","1:11.063","1:04:07.643","Green","Track","21.487","32.108","17.468"
"10","GTP","Filipe Albuquerque","31","1:09.750","1:04:08.037","Green","Track","20.707","31.758","17.285"
"60","GTP","Colin Braun","25","1:09.742","1:04:10.899","Green","Track","21.328","31.687","16.727"
"79","GTDPRO","Jules Gounon","37","1:17.699","1:04:16.123","Green","Track","23.443","35.643","18.613"
"9","GTDPRO","Patrick Pilet","32","1:18.699","1:04:19.988","Green","Track","24.037","35.803","18.859"
"12","GTD","Frankie Montecalvo","30","1:20.632","1:04:21.168","Green","Track","24.356","36.933","0.000"
"13","LMP3","Matthew Bell","37","1:15.497","1:04:21.315","Green","Track","22.098","35.045","18.354"
"33","LMP3","Lance Willsey","36","1:18.609","1:04:22.829","Green","Track","23.174","36.467","18.968"
"30","LMP3","Garett Grist","6","1:14.289","1:04:23.032","Green","Track","22.296","33.848","18.145"
"7","GTP","Felipe Nasr","24","1:13.154","1:04:24.407","Green","Track","22.871","32.097","18.186"
"27","GTD","Marco Sorensen","34","4:49.726","1:04:24.948","Green","Track","230.980","38.331","20.415"
"3","GTDPRO","Antonio Garcia","32","1:20.316","1:04:28.871","Green","Track","25.299","36.458","18.559"
"14","GTDPRO","Ben Barnicoat","30","1:20.459","1:04:30.907","Green","Track","24.444","36.371","19.644"
"91","GTD","Alan Metni","39","1:23.610","1:04:31.820","Green","Track","25.311","38.698","19.601"
"25","GTP","Connor De Phillippi","32","5:18.483","1:04:33.281","Green","Track","261.940","37.551","18.992"
"57","GTD","Philip Ellis","40","1:27.846","1:04:36.013","Green","Track","33.182","35.755","18.909"
"70","GTD","Frederik Schandorff","42","1:17.397","1:04:37.973","Green","Track","23.141","35.236","19.020"
"32","GTD","Mikael Grenier","24","1:22.266","1:04:38.675","Green","Track","23.606","37.515","21.145"
"74","LMP3","Felipe Fraga","38","1:14.519","1:04:39.197","Green","Track","21.967","34.487","18.065"
"1","GTD","Madison Snow","27","1:19.100","1:04:41.934","Green","Track","23.619","36.357","19.124"
"01","GTP","Renger van der Zande","23","1:12.361","1:04:55.684","Green","Track","21.630","33.277","17.454"
"17","LMP3","Anthony Mantella","38","1:16.759","1:05:01.447","Green","Track","22.831","35.171","18.757"
"77","GTD","Alan Brynjolfsson","36","1:20.133","1:05:02.227","Green","Track","24.350","35.727","20.056"
"66","GTD","Sheena Monk","35","1:18.520","1:05:14.529","Green","Track","23.694","35.743","19.083"
"4","LMP3","George Staikos","32","1:17.938","1:05:15.698","Green","Track","23.167","35.693","19.078"
"97","GTD","Chandler Hull","37","1:29.748","1:05:18.141","Green","Track","33.736","36.368","19.644"
"5","GTP","Tijmen van der Helm","42","1:28.530","1:05:18.630","Green","Track","36.947","33.622","17.961"
"10","GTP","Filipe Albuquerque","32","1:11.305","1:05:19.342","Green","Track","21.306","32.077","17.922"
"78","GTD","Loris Spinelli","31","1:19.963","1:05:20.005","Green","Track","23.375","35.341","21.247"
"24","GTP","Philipp Eng","35","1:12.491","1:05:20.134","Green","Track","21.958","32.278","18.255"
"60","GTP","Colin Braun","26","1:09.462","1:05:20.361","Green","Track","20.239","31.432","17.791"
"80","GTD","PJ Hyett","35","1:21.120","1:05:21.759","Green","Track","24.105","36.195","20.820"
"96","GTD","Patrick Gallagher","40","1:17.629","1:05:22.145","Green","Track","23.415","35.344","18.870"
"92","GTD","Alec Udell","25","1:18.519","1:05:25.448","Green","Track","23.863","35.895","18.761"
"79","GTDPRO","Jules Gounon","38","1:17.272","1:05:33.395","Green","Track","23.170","35.490","18.612"
"13","LMP3","Matthew Bell","38","1:15.215","1:05:36.530","Green","Track","22.758","35.020","17.437"
"7","GTP","Felipe Nasr","25","1:13.687","1:05:38.094","Green","Track","22.164","33.690","17.833"
"9","GTDPRO","Patrick Pilet","33","1:18.675","1:05:38.663","Green","Track","23.755","35.582","19.338"
"30","LMP3","Garett Grist","7","1:15.630","1:05:38.662","Green","Track","22.545","35.314","17.771"
"12","GTD","Frankie Montecalvo","31","1:19.285","1:05:40.453","Green","Track","24.027","36.255","19.003"
"33","LMP3","Lance Willsey","37","1:18.985","1:05:41.814","Green","Track","24.147","35.774","19.064"
