"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"01","GTP","Sebastien Bourdais","1","3:44.080","3:44.080","Green","Track","77.775","95.925","57.068"
"97","GTD","Bill Auberlen","1","3:44.230","3:44.230","Green","Track","77.678","95.876","57.078"
"01","GTP","Sebastien Bourdais","2","3:57.581","7:41.661","Green","Pit","68.178","97.029","72.374"
"97","GTD","Bill Auberlen","2","3:57.759","7:41.989","Green","Pit","68.201","97.006","72.552"
"27","GTD","Marco Sorensen","1","1:47.578","1:47.578","Green","Track","884.250","38.330","20.522"
"1","GTD","Madison Snow","1","1:47.943","1:47.943","Green","Track","850.532","38.388","20.414"
"91","GTD","Kay van Berlo","1","1:50.819","1:50.819","Green","Track","41.798","39.415","20.086"
"13","LMP3","Orey Fidani","1","1:55.789","1:55.789","Green","Track","44.860","38.464","19.814"
"92","GTD","Alec Udell","1","1:57.471","1:57.471","Green","Track","45.156","39.787","20.775"
"33","LMP3","Lance Willsey","1","2:00.989","2:00.989","Green","Track","42.181","39.281","20.570"
"17","LMP3","Anthony Mantella","1","2:01.484","2:01.484","Green","Track","46.383","40.132","21.253"
"70","GTD","Brendan Iribe","1","2:04.254","2:04.254","Green","Track","45.746","41.501","21.852"
"4","LMP3","George Staikos","1","2:04.864","2:04.864","Green","Track","44.454","41.427","21.749"
"77","GTD","Trent Hindman","1","2:05.026","2:05.026","Green","Track","0.000","39.664","20.424"
"32","GTD","Mikael Grenier","1","2:18.190","2:18.190","Green","Track","49.226","41.762","22.521"
"66","GTD","Sheena Monk","1","2:24.151","2:24.151","Green","Track","46.356","53.836","23.976"
"78","GTD","Loris Spinelli","1","2:28.827","2:28.827","Green","Track","41.445","43.832","23.140"
"57","GTD","Russell Ward","1","2:29.899","2:29.899","Green","Track","37.175","37.472","19.958"
"12","GTD","Frankie Montecalvo","1","2:33.612","2:33.612","Green","Track","874.645","50.145","22.544"
"30","LMP3","Ari Balogh","1","2:39.775","2:39.775","Green","Track","39.062","38.180","20.582"
"96","GTD","Robby Foley","1","2:48.413","2:48.413","Green","Track","38.620","37.956","20.283"
"97","GTD","Bill Auberlen","1","2:51.120","2:51.120","Green","Track","39.543","38.047","20.341"
"74","LMP3","Gar Robinson","1","2:56.795","2:56.795","Green","Pit","48.779","50.153","66.808"
"27","GTD","Marco Sorensen","2","1:19.713","3:07.291","Green","Track","24.530","35.995","19.188"
"1","GTD","Madison Snow","2","1:21.673","3:09.616","Green","Track","24.886","37.282","19.505"
"91","GTD","Kay van Berlo","2","1:21.133","3:11.952","Green","Track","25.387","36.416","19.330"
"13","LMP3","Orey Fidani","2","1:18.639","3:14.428","Green","Track","23.990","35.765","18.884"
"33","LMP3","Joao Barbosa","2","1:17.569","3:18.558","Green","Track","23.290","36.028","18.251"
"92","GTD","Alec Udell","2","1:22.591","3:20.062","Green","Track","25.590","37.227","19.774"
"17","LMP3","Anthony Mantella","2","1:19.275","3:20.759","Green","Track","24.912","35.834","18.529"
"77","GTD","Trent Hindman","2","1:21.507","3:26.533","Green","Track","25.862","36.645","19.000"
"70","GTD","Brendan Iribe","2","1:24.259","3:28.513","Green","Track","26.975","37.696","19.588"
"4","LMP3","Antoine Comeau","2","1:32.469","3:37.333","Green","Track","26.948","43.872","21.649"
"32","GTD","Mikael Grenier","2","1:25.529","3:43.719","Green","Track","26.298","37.044","22.187"
"57","GTD","Russell Ward","2","1:20.788","3:50.687","Green","Track","24.656","36.740","19.392"
"66","GTD","Sheena Monk","2","1:27.842","3:51.993","Green","Track","28.383","39.603","19.856"
"78","GTD","Loris Spinelli","2","1:25.828","3:54.655","Green","Track","27.744","38.090","19.994"
"30","LMP3","Ari Balogh","2","1:20.594","4:00.369","Green","Track","24.686","36.513","19.395"
"12","GTD","Frankie Montecalvo","2","1:32.146","4:05.758","Green","Track","27.806","43.830","20.510"
"96","GTD","Robby Foley","2","1:19.434","4:07.847","Green","Track","24.229","35.467","19.738"
"97","GTD","Bill Auberlen","2","1:18.092","4:09.212","Green","Track","24.038","35.140","18.914"
"27","GTD","Marco Sorensen","3","1:17.550","4:24.841","Green","Track","23.458","35.340","18.752"
"1","GTD","Madison Snow","3","1:18.293","4:27.909","Green","Track","24.167","35.340","18.786"
"74","LMP3","Gar Robinson","2","1:34.618","4:31.413","Green","Track","37.466","37.684","19.468"
"13","LMP3","Orey Fidani","3","1:17.478","4:31.906","Green","Track","23.135","34.942","19.401"
"33","LMP3","Joao Barbosa","3","1:14.824","4:33.382","Green","Track","22.287","34.821","17.716"
"91","GTD","Kay van Berlo","3","1:22.387","4:34.339","Green","Track","24.233","36.358","21.796"
"17","LMP3","Anthony Mantella","3","1:16.376","4:37.135","Green","Track","23.179","35.256","17.941"
"92","GTD","Alec Udell","3","1:18.138","4:38.200","Green","Track","23.581","35.707","18.850"
"77","GTD","Trent Hindman","3","1:17.752","4:44.285","Green","Track","23.630","35.435","18.687"
"70","GTD","Brendan Iribe","3","1:24.181","4:52.694","Green","Track","24.309","39.753","20.119"
"32","GTD","Mikael Grenier","3","1:23.288","5:07.007","Green","Track","23.516","37.077","22.695"
"57","GTD","Russell Ward","3","1:17.908","5:08.595","Green","Track","23.323","35.524","19.061"
"66","GTD","Sheena Monk","3","1:19.175","5:11.168","Green","Track","24.438","35.463","19.274"
"78","GTD","Loris Spinelli","3","1:20.280","5:14.935","Green","Track","24.871","36.286","19.123"
"30","LMP3","Ari Balogh","3","1:17.987","5:18.356","Green","Track","23.433","35.866","18.688"
"12","GTD","Frankie Montecalvo","3","1:17.031","5:22.789","Green","Track","23.244","35.465","18.322"
"96","GTD","Robby Foley","3","1:17.009","5:24.856","Green","Track","23.257","35.002","18.750"
"97","GTD","Bill Auberlen","3","1:16.874","5:26.086","Green","Track","23.236","34.909","18.729"
"27","GTD","Marco Sorensen","4","1:17.002","5:41.843","Green","Track","23.037","35.377","18.588"
"1","GTD","Madison Snow","4","1:16.990","5:44.899","Green","Track","23.231","35.001","18.758"
"13","LMP3","Orey Fidani","4","1:15.753","5:47.659","Green","Track","23.041","34.917","17.795"
"33","LMP3","Joao Barbosa","4","1:14.789","5:48.171","Green","Track","21.901","35.132","17.756"
"74","LMP3","Gar Robinson","3","1:19.587","5:51.000","Green","Track","23.224","35.539","20.824"
"91","GTD","Kay van Berlo","4","1:17.879","5:52.218","Green","Track","23.727","35.548","18.604"
"17","LMP3","Anthony Mantella","4","1:15.322","5:52.457","Green","Track","22.705","34.137","18.480"
"92","GTD","Alec Udell","4","1:16.900","5:55.100","Green","Track","23.098","35.297","18.505"
"77","GTD","Trent Hindman","4","1:16.861","6:01.146","Green","Track","23.298","35.066","18.497"
"70","GTD","Brendan Iribe","4","1:18.681","6:11.375","Green","Track","23.785","35.905","18.991"
"32","GTD","Mikael Grenier","4","1:16.557","6:23.564","Green","Track","22.927","35.157","18.473"
"57","GTD","Russell Ward","4","1:17.364","6:25.959","Green","Track","23.195","35.394","18.775"
"66","GTD","Sheena Monk","4","1:17.281","6:28.449","Green","Track","23.560","35.002","18.719"
"78","GTD","Loris Spinelli","4","1:17.160","6:32.095","Green","Track","23.301","35.275","18.584"
"30","LMP3","Ari Balogh","4","1:16.905","6:35.261","Green","Track","22.736","35.563","18.606"
"12","GTD","Frankie Montecalvo","4","1:15.906","6:38.695","Green","Track","22.407","35.247","18.252"
"96","GTD","Robby Foley","4","1:16.501","6:41.357","Green","Track","23.053","34.884","18.564"
"97","GTD","Bill Auberlen","4","1:16.768","6:42.854","Green","Track","23.117","35.065","18.586"
"27","GTD","Marco Sorensen","5","1:16.570","6:58.413","Green","Track","22.874","35.205","18.491"
"13","LMP3","Orey Fidani","5","1:14.409","7:02.068","Green","Track","21.889","34.015","18.505"
